State_ID,State_Name
maine,Maine
massachusetts,Massachusetts
rhodeisland,Rhode Island
newhampshire,New Hampshire
connecticut,Connecticut
vermont,Vermont
newyork,New York
newjersey,New Jersey
pennsylvania,Pennsylvania
delaware,Delaware
northcarolina,North Carolina
virginia,Virginia
maryland,Maryland
districtofcolumbia,District of Columbia
southcarolina,South Carolina
westvirginia,West Virginia
florida,Florida
ohio,Ohio
georgia,Georgia
tennessee,Tennessee
michigan,Michigan
kentucky,Kentucky
indiana,Indiana
alabama,Alabama
wisconsin,Wisconsin
illinois,Illinois
mississippi,Mississippi
louisiana,Louisiana
missouri,Missouri
arkansas,Arkansas
iowa,Iowa
minnesota,Minnesota
texas,Texas
kansas,Kansas
oklahoma,Oklahoma
nebraska,Nebraska
southdakota,South Dakota
northdakota,North Dakota
colorado,Colorado
newmexico,New Mexico
montana,Montana
wyoming,Wyoming
utah,Utah
arizona,Arizona
idaho,Idaho
california,California
nevada,Nevada
oregon,Oregon
washington,Washington
alaska,Alaska
hawaii,Hawaii
